NAME,DATEPUBLIC,MARKETVAL,TRADEVOLUME,BETAESTIMATE,UPDOWN10DB4EARN,VARIANCE,10DAYSAFTER,GAIN_YN10,20DAYSOUT,GAINY/N20,30DAYSOUT,GAINY/N30,DRIFTSCORE,EarningsPerShare,REVQ1,REVQ2,REVGROWTH 
Royal Caribbean Cruises Ltd., 4/28/1993,"6,757.0",0,2,-13.77%,-0.26%,-5.92%,0,-28.51%,0,-59.26%,0,0,,,,
Marathon Petroleum Corporation, 6/23/2011,"16,198.0",0,2,-11.22%,82.86%,9.96%,1,-18.67%,0,-52.24%,0,1,,,,
"Helmerich & Payne, Inc.",11/05/1984,"1,906.5",0,2,-9.71%,59.68%,9.10%,1,-23.19%,0,-49.86%,0,1,,,,
Boeing Company,11/05/1984,"95,848.5",1,0,-4.14%,-276.71%,7.90%,1,-17.18%,0,-46.19%,0,1,,,,
"American Airlines Group, Inc.",12/09/2013,"6,096.9",1,2,0.37%,0.78%,-1.74%,0,-1.70%,0,-42.60%,0,0,,,,
Alliance Data Systems Corporation, 6/08/2001,"2,358.0",1,2,-2.19%,-0.90%,-3.44%,0,-17.02%,0,-42.35%,0,0,,,,
Capri Holdings Limited,12/15/2011,"2,080.7",1,2,-16.12%,4.48%,-13.36%,0,-19.06%,0,-40.37%,0,0,,,,
Hess Corporation,11/05/1984,"10,658.1",1,2,-10.36%,17.74%,1.64%,1,-6.38%,0,-40.31%,0,1,,,,
"Dow, Inc.", 3/20/2019,"19,079.5",0,2,-9.91%,6.90%,-0.58%,0,-19.91%,0,-40.15%,0,0,,,,
SVB Financial Group,10/23/1987,"8,075.9",1,2,2.49%,11.14%,1.78%,1,-5.40%,0,-39.10%,0,1,,,,
Textron Inc.,11/05/1984,"6,629.0",0,2,1.47%,3.83%,4.42%,1,-16.88%,0,-38.70%,0,1,,,,
LyondellBasell Industries NV, 4/28/2010,"15,623.7",0,2,-8.49%,-18.74%,6.09%,1,-9.78%,0,-37.14%,0,1,,,,
ConocoPhillips,11/05/1984,"33,925.9",1,1,-9.05%,-5.23%,4.90%,1,-16.59%,0,-36.52%,0,1,,,,
"United Airlines Holdings, Inc.", 1/26/2006,"10,324.7",1,2,-2.18%,0.81%,-1.79%,0,-2.37%,0,-35.44%,0,0,,,,
Invesco Ltd., 9/08/1993,"4,896.8",0,2,-0.50%,-8.54%,5.39%,1,-21.42%,0,-35.27%,0,1,,,,
"Principal Financial Group, Inc.",10/23/2001,"9,765.2",1,2,-3.93%,1.51%,3.74%,1,-17.17%,0,-33.82%,0,1,,,,
"Alaska Air Group, Inc.",11/05/1984,"4,664.5",0,2,-0.50%,3.34%,-2.02%,0,-19.19%,0,-33.76%,0,0,,,,
"United Rentals, Inc.",12/18/1997,"6,741.8",1,2,-1.35%,8.35%,13.07%,1,-17.24%,0,-31.30%,0,1,,,,
Sysco Corporation,11/05/1984,"23,935.5",1,1,-0.63%,1.83%,0.20%,1,-10.84%,0,-31.28%,0,1,,,,
Halliburton Company,11/05/1984,"6,291.4",1,2,-3.23%,8.42%,-8.83%,0,2.81%,1,-30.92%,0,1,,,,
General Electric Company,11/05/1984,"68,610.8",1,0,-3.22%,21.72%,1.70%,1,-21.05%,0,-30.41%,0,1,,,,
Western Digital Corporation,11/05/1984,"12,501.3",1,2,0.43%,7.38%,5.73%,1,-13.30%,0,-30.35%,0,1,,,,
Exxon Mobil Corporation,11/05/1984,"161,331.1",1,0,-6.22%,-4.25%,-2.37%,0,-11.16%,0,-29.25%,0,0,,,,
"Zimmer Biomet Holdings, Inc.", 7/25/2001,"20,186.3",1,1,-0.58%,1.45%,2.07%,1,-13.72%,0,-29.17%,0,1,,,,
TransDigm Group Incorporated, 3/15/2006,"22,265.5",0,1,2.45%,7.38%,0.00%,0,-9.95%,0,-28.18%,0,0,,,,
Unum Group,11/06/1986,"3,148.1",1,2,-4.09%,1.80%,-0.30%,0,-28.52%,0,-27.96%,0,0,,,,
Phillips 66, 4/12/2012,"23,888.3",1,1,-8.08%,-1.20%,-2.08%,0,-16.05%,0,-27.63%,0,0,,,,
Norfolk Southern Corporation,11/05/1984,"37,867.0",1,1,2.24%,11.85%,-1.82%,0,-12.63%,0,-27.56%,0,0,,,,
"Harley-Davidson, Inc.", 7/08/1986,"3,624.6",1,2,0.00%,-15.26%,1.15%,1,-7.08%,0,-27.36%,0,1,,,,
"Simon Property Group, Inc.",12/14/1993,"31,743.5",0,1,-10.13%,0.21%,-0.20%,0,-9.87%,0,-27.31%,0,0,,,,
Trane Technologies plc,11/05/1984,"24,660.2",1,1,-0.43%,-1.64%,8.41%,1,-8.98%,0,-27.30%,0,1,,,,
"Prudential Financial, Inc.",12/13/2001,"21,009.2",1,1,-2.05%,15.90%,-1.94%,0,-22.95%,0,-26.76%,0,0,,,,
Truist Financial Corporation,11/05/1984,"45,425.9",1,1,-4.44%,-16.71%,5.16%,1,-15.83%,0,-26.68%,0,1,,,,
E*TRADE Financial Corporation, 8/16/1996,"7,986.4",0,2,-0.65%,-16.98%,-4.43%,0,15.52%,1,-26.66%,0,1,,,,
W. R. Berkley Corporation,11/05/1984,"10,304.7",1,2,6.25%,3.46%,8.10%,1,-11.00%,0,-26.49%,0,1,,,,
Eastman Chemical Company,12/14/1993,"6,297.8",1,2,-8.73%,6.73%,4.85%,1,-15.79%,0,-26.41%,0,1,,,,
"Raymond James Financial, Inc.",11/05/1984,"10,074.4",1,2,8.76%,-1.95%,-1.41%,0,5.62%,1,-26.24%,0,1,,,,
M&T Bank Corporation,11/05/1984,"14,654.4",0,2,-2.42%,3.69%,0.45%,1,-1.50%,0,-25.77%,0,1,,,,
"Tapestry, Inc.",10/05/2000,"4,480.0",1,2,2.68%,11.02%,-3.48%,0,-22.47%,0,-25.21%,0,0,,,,
Discover Financial Services, 6/14/2007,"15,959.6",1,2,4.22%,0.49%,-1.31%,0,-2.84%,0,-25.14%,0,0,,,,
Valero Energy Corporation,11/05/1984,"20,425.9",0,1,-9.37%,31.59%,-5.09%,0,-20.85%,0,-24.68%,0,0,,,,
Emerson Electric Co.,11/05/1984,"30,794.0",1,1,-6.66%,-0.33%,-1.88%,0,-7.22%,0,-24.51%,0,0,,,,
KeyCorp,11/05/1984,"12,346.7",1,2,0.82%,-0.80%,-1.11%,0,0.31%,1,-24.40%,0,1,,,,
Ralph Lauren Corporation Class A, 6/12/1997,"6,171.7",1,2,-7.24%,16.61%,-3.14%,0,-7.73%,0,-24.31%,0,0,,,,
Lincoln National Corporation,11/05/1984,"5,638.4",1,2,-1.24%,-0.16%,0.67%,1,-36.22%,0,-24.29%,0,1,,,,
Parker-Hannifin Corporation,11/05/1984,"18,011.9",0,2,-3.74%,11.70%,3.84%,1,-13.27%,0,-24.06%,0,1,,,,
Kimco Realty Corporation,11/22/1991,"5,708.7",1,2,0.10%,32.53%,-2.17%,0,-8.35%,0,-23.80%,0,0,,,,
T. Rowe Price Group, 4/02/1986,"25,334.3",1,1,0.21%,10.25%,1.73%,1,-13.46%,0,-23.46%,0,1,,,,
"Arconic, Inc.",10/18/2016,"8,945.1",1,2,-2.22%,-1.85%,3.20%,1,0.19%,1,-23.37%,0,2,,,,
American Express Company,11/05/1984,"80,480.9",1,0,4.64%,1.07%,-2.44%,0,-2.75%,0,-23.32%,0,0,,,,
"Stanley Black & Decker, Inc.",11/05/1984,"16,802.6",0,2,0.64%,-0.06%,3.45%,1,-19.15%,0,-23.06%,0,1,,,,
Synchrony Financial, 7/31/2014,"14,803.2",0,2,2.12%,12.16%,1.72%,1,-2.83%,0,-22.42%,0,1,,,,
United Technologies Corporation,11/05/1984,"91,203.6",1,0,-0.55%,5.31%,1.56%,1,-10.87%,0,-22.31%,0,1,,,,
WestRock Company, 3/03/1994,"6,686.3",1,2,-4.58%,-1.61%,1.82%,1,-18.40%,0,-22.20%,0,1,,,,
"Zions Bancorporation, N.A.",11/05/1984,"4,851.9",1,2,-2.29%,-6.90%,0.36%,1,-3.67%,0,-21.95%,0,1,,,,
Caterpillar Inc.,11/05/1984,"54,810.3",1,0,-7.01%,10.34%,5.06%,1,-7.53%,0,-21.91%,0,1,,,,
"NVR, Inc.", 6/17/1986,"10,747.2",1,2,5.79%,9.75%,2.01%,1,-5.80%,0,-21.32%,0,1,,,,
"Fortune Brands Home & Security, Inc.", 9/16/2011,"6,802.6",1,2,-1.12%,2.99%,2.30%,1,-14.99%,0,-21.30%,0,1,,,,
Northern Trust Corporation,11/05/1984,"15,913.3",0,2,3.16%,-1.98%,-1.50%,0,-0.70%,0,-21.24%,0,0,,,,
"Hartford Financial Services Group, Inc.",12/18/1995,"15,232.9",0,2,-1.76%,8.68%,0.64%,1,-7.21%,0,-21.11%,0,1,,,,
Microchip Technology Incorporated, 3/19/1993,"16,760.5",1,2,-6.89%,4.50%,-0.35%,0,-17.99%,0,-21.10%,0,0,,,,
"Freeport-McMoRan, Inc.", 7/10/1995,"10,925.4",1,2,-5.59%,-27980.98%,2.92%,1,-3.08%,0,-21.02%,0,1,,,,
Stryker Corporation,11/05/1984,"61,542.7",1,0,3.53%,1.40%,2.56%,1,-9.83%,0,-20.84%,0,1,,,,
Starbucks Corporation, 6/26/1992,"82,065.1",1,0,-2.72%,4.14%,2.13%,1,-11.61%,0,-20.68%,0,1,,,,
Fifth Third Bancorp,11/05/1984,"12,537.3",1,2,-3.88%,33.67%,2.86%,1,-1.16%,0,-20.62%,0,1,,,,
"Skyworks Solutions, Inc.",11/05/1984,"14,122.9",0,2,7.24%,1.38%,-6.84%,0,-2.41%,0,-20.57%,0,0,,,,
Raytheon Company,11/05/1984,"41,724.4",1,1,-0.04%,1.23%,0.29%,1,-16.85%,0,-20.53%,0,1,,,,
General Dynamics Corporation,11/05/1984,"40,443.5",1,1,1.38%,1.96%,2.88%,1,-11.98%,0,-20.41%,0,1,,,,
Schlumberger NV,11/05/1984,"22,432.7",0,1,-3.46%,6.74%,-12.80%,0,0.57%,1,-20.33%,0,1,,,,
Globe Life Inc.,11/05/1984,"7,697.2",0,2,3.16%,-1.06%,2.55%,1,-19.35%,0,-20.16%,0,1,,,,
Weyerhaeuser Company,11/05/1984,"16,341.8",0,2,-2.78%,-45.79%,5.91%,1,-10.50%,0,-20.12%,0,1,,,,
Huntington Bancshares Incorporated,11/05/1984,"9,718.3",0,2,2.22%,-9.08%,-2.07%,0,-0.43%,0,-20.06%,0,0,,,,
"Maxim Integrated Products, Inc.", 2/29/1988,"13,081.8",1,2,0.41%,5.08%,4.79%,1,-13.20%,0,-20.00%,0,1,,,,
Comerica Incorporated,11/05/1984,"5,465.8",0,2,-2.75%,6.40%,-5.14%,0,0.11%,1,-19.98%,0,1,,,,
"Leggett & Platt, Incorporated",11/05/1984,"4,286.5",0,2,-8.28%,2.26%,-5.37%,0,-9.94%,0,-19.92%,0,0,,,,
"Ameriprise Financial, Inc.", 9/15/2005,"13,968.5",1,2,-1.41%,-1.75%,4.63%,1,-20.80%,0,-19.79%,0,1,,,,
Aon plc,11/05/1984,"41,046.3",1,1,5.07%,2.49%,7.03%,1,-6.22%,0,-19.73%,0,1,,,,
"Rockwell Automation, Inc.",11/05/1984,"19,307.5",1,2,-4.80%,0.52%,4.93%,1,-9.55%,0,-19.66%,0,1,,,,
Whirlpool Corporation,11/05/1984,"7,234.9",0,2,-0.97%,14.94%,-2.99%,0,-9.65%,0,-19.53%,0,0,,,,
Southwest Airlines Co.,11/05/1984,"21,354.0",1,1,-1.49%,-10.33%,4.19%,1,-2.06%,0,-19.10%,0,1,,,,
"Delta Air Lines, Inc.", 4/26/2007,"24,554.0",1,1,0.69%,21.20%,-7.81%,0,4.98%,1,-18.97%,0,1,,,,
Nucor Corporation,11/05/1984,"10,787.8",1,2,-6.80%,55.75%,-2.28%,0,-9.66%,0,-18.87%,0,0,,,,
"Tyson Foods, Inc. Class A",11/05/1984,"18,800.5",1,2,-3.99%,2.13%,-2.43%,0,-16.93%,0,-18.78%,0,0,,,,
Citigroup Inc.,10/29/1986,"107,092.5",1,0,1.23%,18.64%,-6.63%,0,3.73%,1,-18.76%,0,1,,,,
TE Connectivity Ltd., 6/14/2007,"23,460.1",1,1,0.18%,6.28%,-3.21%,0,-12.36%,0,-18.74%,0,0,,,,
"PNC Financial Services Group, Inc.",11/05/1984,"45,865.2",1,1,-0.09%,1.22%,-2.02%,0,2.89%,1,-18.62%,0,1,,,,
"BlackRock, Inc.",10/01/1999,"64,064.7",1,0,3.49%,7.52%,1.78%,1,5.35%,1,-18.56%,0,2,,,,
"MetLife, Inc.", 4/05/2000,"29,242.4",0,1,-0.71%,44.05%,-1.23%,0,-23.52%,0,-18.50%,0,0,,,,
Bank of America Corp,11/05/1984,"210,881.3",1,0,0.48%,8.26%,-3.43%,0,4.27%,1,-18.36%,0,1,,,,
"Citizens Financial Group, Inc.", 9/24/2014,"10,113.1",1,2,-2.85%,3.15%,-7.81%,0,0.74%,1,-17.94%,0,1,,,,
Baker Hughes Company Class A, 4/03/1987,"13,123.8",1,2,-10.93%,-14.31%,-3.66%,0,-5.45%,0,-17.91%,0,0,,,,
General Motors Company,11/18/2010,"35,310.6",1,1,-1.77%,313.18%,0.74%,1,-14.71%,0,-17.91%,0,1,,,,
Capital One Financial Corporation,11/16/1994,"33,318.5",1,1,1.10%,5.21%,-1.89%,0,-1.15%,0,-17.83%,0,0,,,,
Intel Corporation,11/05/1984,"232,797.1",0,0,7.38%,21.40%,-3.58%,0,-6.45%,0,-17.67%,0,0,,,,
"Nasdaq, Inc.", 7/01/2002,"15,849.4",0,2,3.78%,1.84%,-1.11%,0,-5.80%,0,-17.52%,0,0,,,,
"Automatic Data Processing, Inc.",11/05/1984,"62,388.5",1,0,3.45%,5.17%,4.09%,1,-11.51%,0,-17.30%,0,1,,,,
Celanese Corporation, 1/21/2005,"9,375.2",1,2,-12.39%,-4.13%,2.85%,1,-12.16%,0,-17.16%,0,1,,,,
DTE Energy Company,11/05/1984,"18,572.6",0,2,-0.62%,3.93%,-0.37%,0,-13.21%,0,-17.05%,0,0,,,,
"Franklin Resources, Inc.",11/05/1984,"8,998.8",0,2,-1.62%,5.12%,-7.63%,0,-10.12%,0,-16.77%,0,0,,,,
Morgan Stanley, 2/23/1993,"57,464.9",0,0,3.56%,17.74%,-7.41%,0,6.85%,1,-16.76%,0,1,,,,
"Qorvo, Inc.", 6/03/1997,"9,694.4",0,2,-2.88%,10.99%,-2.34%,0,-7.87%,0,-16.68%,0,0,,,,
Aflac Incorporated,11/05/1984,"25,064.3",1,1,-1.27%,-0.75%,-3.36%,0,-19.25%,0,-16.57%,0,0,,,,
Ford Motor Company,11/05/1984,"22,323.2",1,1,-0.33%,-28.14%,-3.37%,0,-16.06%,0,-16.47%,0,0,,,,
"Air Products and Chemicals, Inc.",11/05/1984,"45,539.1",1,1,4.03%,1.97%,2.45%,1,-1.76%,0,-16.45%,0,1,,,,
"AMETEK, Inc.",11/05/1984,"17,092.7",0,2,-2.12%,5.24%,0.52%,1,-11.42%,0,-16.25%,0,1,,,,
V.F. Corporation,11/05/1984,"23,501.7",1,1,-4.20%,1.59%,-1.56%,0,-0.43%,0,-16.23%,0,0,,,,
L3Harris Technologies Inc,11/05/1984,"38,527.3",1,1,0.69%,#N/A,1.00%,1,-6.35%,0,-16.07%,0,1,,,,
Ball Corporation,11/05/1984,"20,797.4",1,1,6.65%,5.39%,-1.46%,0,-1.05%,0,-16.06%,0,0,,,,
"PulteGroup, Inc.",11/05/1984,"8,242.3",0,2,10.78%,11.78%,0.30%,1,-10.45%,0,-16.00%,0,1,,,,
Las Vegas Sands Corp.,12/15/2004,"37,428.2",0,1,-11.80%,12.38%,4.70%,1,-15.87%,0,-15.95%,0,1,,,,
Chubb Limited, 3/25/1993,"55,227.2",0,0,1.02%,7.72%,-1.32%,0,-11.19%,0,-15.89%,0,0,,,,
U.S. Bancorp,11/05/1984,"56,438.8",1,0,-4.36%,-16.94%,-1.31%,0,1.71%,1,-15.84%,0,1,,,,
"Goldman Sachs Group, Inc.", 5/04/1999,"61,242.9",0,0,6.90%,-13.02%,-0.44%,0,-2.37%,0,-15.77%,0,0,,,,
"Gartner, Inc.",10/05/1993,"9,472.4",1,2,1.66%,44.66%,-0.19%,0,-18.01%,0,-15.64%,0,0,,,,
UnitedHealth Group Incorporated,11/05/1984,"258,049.8",1,0,-1.91%,3.28%,-5.21%,0,7.55%,1,-15.63%,0,1,,,,
"Church & Dwight Co., Inc.",11/05/1984,"15,555.2",0,2,1.31%,0.01%,2.98%,1,-1.92%,0,-15.57%,0,1,,,,
Mastercard Incorporated Class A, 5/25/2006,"271,389.4",1,0,1.61%,4.76%,4.32%,1,-14.47%,0,-15.51%,0,1,,,,
McDonald's Corporation,11/05/1984,"132,041.0",1,0,1.88%,0.29%,1.41%,1,-7.57%,0,-15.36%,0,1,,,,
"Paycom Software, Inc.", 4/15/2014,"13,335.7",1,2,6.34%,11.07%,3.33%,1,-10.88%,0,-15.35%,0,1,,,,
"PerkinElmer, Inc.",11/05/1984,"8,216.5",0,2,-1.66%,1.84%,-1.71%,0,-10.29%,0,-15.30%,0,0,,,,
Humana Inc.,11/05/1984,"41,475.0",1,1,-6.06%,3.83%,1.70%,1,-0.11%,0,-15.30%,0,1,,,,
Cboe Global Markets Inc, 6/15/2010,"10,469.2",1,2,6.95%,8.62%,-0.45%,0,-8.38%,0,-15.18%,0,0,,,,
Aptiv PLC,11/17/2011,"16,964.4",0,2,0.98%,12.77%,3.24%,1,-13.71%,0,-14.90%,0,1,,,,
Corning Inc,11/05/1984,"17,410.7",0,2,-7.89%,4.22%,1.73%,1,-16.68%,0,-14.81%,0,1,,,,
"F5 Networks, Inc.", 6/04/1999,"6,427.0",1,2,-1.81%,5.01%,0.07%,1,0.29%,1,-14.75%,0,2,,,,
Allstate Corporation, 6/03/1993,"29,400.1",0,1,1.83%,-3.31%,-0.97%,0,-12.15%,0,-14.47%,0,0,,,,
"Alexion Pharmaceuticals, Inc.", 2/28/1996,"17,809.5",0,2,-5.19%,3.86%,3.11%,1,-9.08%,0,-14.45%,0,1,,,,
State Street Corporation,11/05/1984,"20,856.6",0,1,0.47%,16.77%,-7.84%,0,1.04%,1,-14.35%,0,1,,,,
Jacobs Engineering Group Inc.,11/05/1984,"11,543.4",1,2,-1.02%,1.29%,6.29%,1,-0.17%,0,-14.34%,0,1,,,,
International Business Machines Corporation,11/05/1984,"95,903.6",1,0,3.78%,0.47%,8.65%,1,-3.27%,0,-14.33%,0,1,,,,
Loews Corporation,11/05/1984,"10,650.4",1,2,3.70%,#N/A,-9.77%,0,-14.26%,0,-14.29%,0,0,,,,
Union Pacific Corporation,11/05/1984,"99,294.1",1,0,1.61%,-1.01%,-0.58%,0,-2.36%,0,-14.10%,0,0,,,,
Kansas City Southern,11/05/1984,"12,269.8",1,2,3.98%,-0.86%,2.96%,1,3.35%,1,-14.07%,0,2,,,,
Hanesbrands Inc., 8/16/2006,"3,508.6",1,2,-0.14%,0.46%,-0.85%,0,-20.03%,0,-14.03%,0,0,,,,
"C.H. Robinson Worldwide, Inc.",10/15/1997,"8,413.3",1,2,-3.21%,-23.66%,-0.12%,0,-4.71%,0,-13.97%,0,0,,,,
Tractor Supply Company, 2/17/1994,"8,938.1",0,2,5.37%,-1.84%,4.72%,1,-9.92%,0,-13.90%,0,1,,,,
"Hologic, Inc.", 3/01/1990,"10,718.3",1,2,2.09%,0.35%,-3.30%,0,-10.14%,0,-13.88%,0,0,,,,
Johnson Controls International plc,11/05/1984,"25,061.2",1,1,-1.03%,5.43%,6.36%,1,-9.27%,0,-13.82%,0,1,,,,
"J.B. Hunt Transport Services, Inc.",11/05/1984,"9,339.1",1,2,1.91%,-10.00%,-3.70%,0,-0.75%,0,-13.75%,0,0,,,,
SL Green Realty Corp., 8/15/1997,"5,205.1",1,2,3.56%,-36.53%,0.19%,1,-0.92%,0,-13.71%,0,1,,,,
Boston Scientific Corporation, 5/19/1992,"45,139.0",0,1,-2.70%,4.67%,-0.28%,0,-11.86%,0,-13.69%,0,0,,,,
Chevron Corporation,11/05/1984,"156,773.3",1,0,-4.07%,-15.20%,2.74%,1,-12.25%,0,-13.63%,0,1,,,,
Regions Financial Corporation,11/05/1984,"9,554.8",0,2,-2.57%,3.91%,-3.23%,0,2.84%,1,-13.61%,0,1,,,,
"DuPont de Nemours, Inc.",11/05/1984,"27,431.3",1,1,-4.12%,-0.48%,1.04%,1,-19.47%,0,-13.52%,0,1,,,,
"Chipotle Mexican Grill, Inc.", 1/26/2006,"17,503.8",0,2,1.62%,3.63%,8.62%,1,-21.57%,0,-13.36%,0,1,,,,
CSX Corporation,11/05/1984,"44,835.5",1,1,4.85%,3.14%,0.92%,1,3.13%,1,-13.33%,0,2,,,,
"Xilinx, Inc.", 6/12/1990,"19,046.0",1,2,-0.34%,9.43%,3.53%,1,-12.81%,0,-13.22%,0,1,,,,
Pentair plc,11/05/1984,"6,026.6",1,2,-0.84%,4.57%,-0.02%,0,-5.47%,0,-13.02%,0,0,,,,
Arthur J. Gallagher & Co.,11/05/1984,"16,953.5",0,2,4.58%,10.12%,6.42%,1,-5.18%,0,-12.99%,0,1,,,,
McKesson Corporation,11/05/1984,"23,475.6",1,1,-7.95%,8.93%,12.57%,1,-9.37%,0,-12.93%,0,1,,,,
Edwards Lifesciences Corporation, 3/27/2000,"38,792.3",1,1,-1.19%,-1.73%,4.86%,1,-7.65%,0,-12.88%,0,1,,,,
Eaton Corp. Plc,11/05/1984,"35,370.5",1,1,-0.20%,3.92%,3.37%,1,-5.93%,0,-12.80%,0,1,,,,
Coty Inc. Class A, 6/13/2013,"5,909.5",0,2,-2.03%,12.37%,-6.24%,0,-21.98%,0,-12.79%,0,0,,,,
"Boston Properties, Inc.", 6/18/1997,"18,158.6",1,2,3.22%,2.37%,1.46%,1,-11.56%,0,-12.76%,0,1,,,,
Kinder Morgan Inc Class P, 2/11/2011,"33,477.6",1,1,-1.73%,-1.80%,-1.98%,0,3.80%,1,-12.69%,0,1,,,,
"Hasbro, Inc.",11/05/1984,"7,531.0",1,2,-2.64%,33.87%,-17.58%,0,-23.66%,0,-12.64%,0,0,,,,
Cummins Inc.,11/05/1984,"20,563.0",1,1,-6.28%,5.85%,4.25%,1,-6.79%,0,-12.53%,0,1,,,,
"Twitter, Inc.",11/07/2013,"22,941.0",1,1,-1.85%,-13.76%,-0.26%,0,-12.66%,0,-12.46%,0,0,,,,
"PPG Industries, Inc.",11/05/1984,"22,220.4",1,1,-2.06%,-2.12%,-5.94%,0,0.26%,1,-12.35%,0,1,,,,
AT&T Inc.,11/05/1984,"247,249.3",1,0,1.26%,2.36%,2.67%,1,-6.07%,0,-12.31%,0,1,,,,
HCA Healthcare Inc, 3/10/2011,"35,295.6",1,1,-4.41%,-0.07%,2.79%,1,-14.17%,0,-12.29%,0,1,,,,
"Yum! Brands, Inc.", 9/17/1997,"23,602.5",1,1,0.27%,-11.25%,-0.22%,0,-13.63%,0,-12.24%,0,0,,,,
"D.R. Horton, Inc.", 6/05/1992,"14,398.1",1,2,9.84%,26.60%,3.10%,1,-5.58%,0,-12.22%,0,1,,,,
"Illumina, Inc.", 7/28/2000,"34,299.5",0,1,-1.20%,7.50%,-1.56%,0,-8.82%,0,-12.17%,0,0,,,,
